x,y,Phytophthora_PA3_allRun logistic values
478334.9838,4429676.1748,0.0
478334.9838,4431726.1748,0.0
478334.9838,4434576.1748,0.0
478334.9838,4435826.1748,0.0
478334.9838,4436026.1748,0.0
478334.9838,4439276.1748,0.0
478384.9838,4431776.1748,0.0
478384.9838,4438026.1748,0.0
478384.9838,4441476.1748,0.0
478434.9838,4441276.1748,0.0
478484.9838,4432576.1748,0.0
478484.9838,4433576.1748,0.0
478484.9838,4433726.1748,0.0
478484.9838,4433926.1748,0.0
478484.9838,4434726.1748,0.0
478484.9838,4435626.1748,0.0
478484.9838,4435876.1748,0.0
478484.9838,4437626.1748,0.5
478484.9838,4439176.1748,0.0
478484.9838,4439976.1748,0.0
478534.9838,4432426.1748,0.0
478534.9838,4433626.1748,0.0
478534.9838,4435926.1748,0.0
478534.9838,4436926.1748,0.0
478534.9838,4438226.1748,0.0
478534.9838,4440526.1748,0.0
478584.9838,4431326.1748,0.0
478584.9838,4433026.1748,0.0
478584.9838,4433826.1748,0.0
478584.9838,4437726.1748,0.0
478634.9838,4430176.1748,0.0
478684.9838,4433026.1748,0.0
478684.9838,4433476.1748,0.0
478684.9838,4434426.1748,0.0
478684.9838,4436226.1748,0.0
478684.9838,4437526.1748,0.0
478684.9838,4438976.1748,0.0
478684.9838,4439976.1748,0.0
478734.9838,4429676.1748,0.0
478734.9838,4434826.1748,0.0
478734.9838,4437576.1748,0.0
478734.9838,4438676.1748,0.0
478734.9838,4439476.1748,0.0
478734.9838,4439676.1748,0.0
478734.9838,4440326.1748,0.0
478734.9838,4441376.1748,0.0
478784.9838,4433226.1748,0.0
